datahora,casos,obitos,pop
2020-02-25,0,0,1175501
2020-02-26,0,0,1175501
2020-02-27,0,0,1175501
2020-02-28,0,0,1175501
2020-02-29,0,0,1175501
2020-03-01,0,0,1175501
2020-03-02,0,0,1175501
2020-03-03,0,0,1175501
2020-03-04,0,0,1175501
2020-03-05,0,0,1175501
2020-03-06,0,0,1175501
2020-03-07,0,0,1175501
2020-03-08,0,0,1175501
2020-03-09,0,0,1175501
2020-03-10,0,0,1175501
2020-03-11,0,0,1175501
2020-03-12,0,0,1175501
2020-03-13,0,0,1175501
2020-03-14,0,0,1175501
2020-03-15,0,0,1175501
2020-03-16,0,0,1175501
2020-03-17,0,0,1175501
2020-03-18,1,0,1175501
2020-03-19,1,0,1175501
2020-03-20,1,0,1175501
2020-03-21,1,0,1175501
2020-03-22,1,0,1175501
2020-03-23,1,0,1175501
2020-03-24,1,0,1175501
2020-03-25,4,0,1175501
2020-03-26,4,0,1175501
2020-03-27,5,0,1175501
2020-03-28,5,0,1175501
2020-03-29,5,0,1175501
2020-03-30,11,0,1175501
2020-03-31,15,1,1175501
2020-04-01,22,1,1175501
2020-04-02,23,1,1175501
2020-04-03,24,1,1175501
2020-04-04,26,4,1175501
2020-04-05,26,4,1175501
2020-04-06,28,4,1175501
2020-04-07,50,4,1175501
2020-04-08,72,5,1175501
2020-04-09,83,5,1175501
2020-04-10,100,5,1175501
2020-04-11,100,5,1175501
2020-04-12,106,5,1175501
2020-04-13,107,5,1175501
2020-04-14,112,5,1175501
2020-04-15,142,5,1175501
2020-04-16,149,7,1175501
2020-04-17,164,7,1175501
2020-04-18,184,7,1175501
2020-04-19,184,7,1175501
2020-04-20,192,7,1175501
2020-04-21,199,7,1175501
2020-04-22,202,9,1175501
2020-04-23,211,9,1175501
2020-04-24,229,11,1175501
2020-04-25,256,11,1175501
2020-04-26,262,12,1175501
2020-04-27,279,12,1175501
2020-04-28,320,12,1175501
2020-04-29,344,16,1175501
2020-04-30,369,18,1175501
2020-05-01,372,19,1175501
2020-05-02,380,20,1175501
2020-05-03,402,21,1175501
2020-05-04,403,21,1175501
2020-05-05,430,22,1175501
2020-05-06,462,22,1175501
2020-05-07,495,23,1175501
2020-05-08,527,25,1175501
2020-05-09,595,25,1175501
2020-05-10,609,25,1175501
2020-05-11,615,26,1175501
2020-05-12,643,27,1175501
2020-05-13,730,27,1175501
2020-05-14,769,29,1175501
2020-05-15,840,33,1175501
2020-05-16,946,35,1175501
2020-05-17,987,37,1175501
2020-05-18,1006,41,1175501
2020-05-19,1073,42,1175501
2020-05-20,1132,44,1175501
2020-05-21,1192,45,1175501
2020-05-22,1247,47,1175501
2020-05-23,1306,52,1175501
2020-05-24,1335,53,1175501
2020-05-25,1382,57,1175501
2020-05-26,1415,61,1175501
2020-05-27,1454,64,1175501
2020-05-28,1520,65,1175501
2020-05-29,1627,69,1175501
2020-05-30,1733,74,1175501
2020-05-31,1753,75,1175501
2020-06-01,1822,78,1175501
2020-06-02,1928,79,1175501
2020-06-03,2099,80,1175501
2020-06-04,2247,90,1175501
2020-06-05,2414,93,1175501
2020-06-06,2604,101,1175501
2020-06-07,2717,104,1175501
2020-06-08,2752,107,1175501
2020-06-09,2914,116,1175501
2020-06-10,3121,121,1175501
2020-06-11,3291,130,1175501
2020-06-12,3490,136,1175501
2020-06-13,3682,148,1175501
2020-06-14,3852,148,1175501
2020-06-15,3884,149,1175501
2020-06-16,4257,164,1175501
2020-06-17,4302,185,1175501
2020-06-18,4330,194,1175501
2020-06-19,5127,203,1175501
2020-06-20,5317,211,1175501
2020-06-21,5459,211,1175501
2020-06-22,5638,213,1175501
2020-06-23,5890,236,1175501
2020-06-24,6324,253,1175501
2020-06-25,6604,271,1175501
2020-06-26,6944,278,1175501
2020-06-27,7274,292,1175501
2020-06-28,7626,293,1175501
2020-06-29,7743,297,1175501
2020-06-30,8020,316,1175501
2020-07-01,8424,324,1175501
2020-07-02,8773,341,1175501
2020-07-03,9051,354,1175501
2020-07-04,9130,364,1175501
2020-07-05,9433,370,1175501
2020-07-06,9624,374,1175501
2020-07-07,10054,384,1175501
2020-07-08,10460,403,1175501
2020-07-09,10776,420,1175501
2020-07-10,11079,436,1175501
2020-07-11,11367,446,1175501
2020-07-12,11513,453,1175501
2020-07-13,11651,455,1175501
2020-07-14,11965,481,1175501
2020-07-15,12257,501,1175501
2020-07-16,12557,516,1175501
2020-07-17,12757,526,1175501
2020-07-18,12884,538,1175501
2020-07-19,12968,543,1175501
2020-07-20,13213,544,1175501
2020-07-21,13366,568,1175501
2020-07-22,14067,578,1175501
2020-07-23,14542,603,1175501
2020-07-24,15166,618,1175501
2020-07-25,15676,634,1175501
2020-07-26,15809,640,1175501
2020-07-27,15981,645,1175501
2020-07-28,16463,665,1175501
2020-07-29,16946,681,1175501
2020-07-30,17301,701,1175501
2020-07-31,17742,711,1175501
2020-08-01,18033,722,1175501
2020-08-02,18389,723,1175501
2020-08-03,18568,732,1175501
2020-08-04,19017,750,1175501
2020-08-05,19378,758,1175501
2020-08-06,19792,775,1175501
2020-08-07,20149,789,1175501
2020-08-08,20599,797,1175501
2020-08-09,20756,800,1175501
2020-08-10,20889,802,1175501
2020-08-11,21413,818,1175501
2020-08-12,21992,829,1175501
2020-08-13,22652,847,1175501
2020-08-14,23022,864,1175501
2020-08-15,23531,874,1175501
2020-08-16,23620,877,1175501
2020-08-17,23825,882,1175501
2020-08-18,24048,901,1175501
2020-08-19,24256,913,1175501
2020-08-20,24706,923,1175501
2020-08-21,24843,937,1175501
2020-08-22,25248,950,1175501
2020-08-23,25432,956,1175501
2020-08-24,25517,956,1175501
2020-08-25,26005,972,1175501
2020-08-26,26228,984,1175501
2020-08-27,26486,990,1175501
2020-08-28,26753,1005,1175501
2020-08-29,26923,1016,1175501
2020-08-30,27002,1017,1175501
2020-08-31,27013,1018,1175501
2020-09-01,27218,1036,1175501
2020-09-02,27601,1047,1175501
2020-09-03,28001,1053,1175501
2020-09-04,28162,1058,1175501
