datahora,casos,obitos,pop
2020-02-25,1,0,11869660
2020-02-26,1,0,11869660
2020-02-27,1,0,11869660
2020-02-28,2,0,11869660
2020-02-29,2,0,11869660
2020-03-01,2,0,11869660
2020-03-02,2,0,11869660
2020-03-03,2,0,11869660
2020-03-04,3,0,11869660
2020-03-05,6,0,11869660
2020-03-06,6,0,11869660
2020-03-07,12,0,11869660
2020-03-08,15,0,11869660
2020-03-09,15,0,11869660
2020-03-10,18,0,11869660
2020-03-11,29,0,11869660
2020-03-12,44,0,11869660
2020-03-13,44,0,11869660
2020-03-14,62,0,11869660
2020-03-15,62,0,11869660
2020-03-16,145,0,11869660
2020-03-17,156,1,11869660
2020-03-18,214,3,11869660
2020-03-19,259,5,11869660
2020-03-20,306,9,11869660
2020-03-21,306,9,11869660
2020-03-22,306,9,11869660
2020-03-23,306,9,11869660
2020-03-24,306,9,11869660
2020-03-25,722,44,11869660
2020-03-26,899,53,11869660
2020-03-27,1044,62,11869660
2020-03-28,1044,62,11869660
2020-03-29,1044,62,11869660
2020-03-30,1233,103,11869660
2020-03-31,1885,121,11869660
2020-04-01,2418,144,11869660
2020-04-02,2815,164,11869660
2020-04-03,3202,186,11869660
2020-04-04,3496,212,11869660
2020-04-05,3612,220,11869660
2020-04-06,3754,244,11869660
2020-04-07,4258,296,11869660
2020-04-08,4947,339,11869660
2020-04-09,5477,384,11869660
2020-04-10,5982,409,11869660
2020-04-11,6131,422,11869660
2020-04-12,6352,445,11869660
2020-04-13,6418,456,11869660
2020-04-14,6705,512,11869660
2020-04-15,7764,558,11869660
2020-04-16,7908,603,11869660
2020-04-17,8744,643,11869660
2020-04-18,9428,686,11869660
2020-04-19,9668,700,11869660
2020-04-20,9815,715,11869660
2020-04-21,10342,753,11869660
2020-04-22,10691,778,11869660
2020-04-23,11225,912,11869660
2020-04-24,11800,1010,11869660
2020-04-25,13098,1099,11869660
2020-04-26,13513,1114,11869660
2020-04-27,13989,1172,11869660
2020-04-28,15397,1321,11869660
2020-04-29,16638,1439,11869660
2020-04-30,18149,1522,11869660
2020-05-01,19087,1607,11869660
2020-05-02,19494,1661,11869660
2020-05-03,19822,1673,11869660
2020-05-04,20073,1683,11869660
2020-05-05,21140,1801,11869660
2020-05-06,23187,1910,11869660
2020-05-07,24273,1986,11869660
2020-05-08,25367,2110,11869660
2020-05-09,26787,2223,11869660
