"","Data","Índice De Isolamento"
"12",2020-02-26,36
"13",2020-02-27,33
"14",2020-02-28,33
"15",2020-02-29,35
"1",2020-03-01,39
"2",2020-03-02,34
"3",2020-03-03,33
"4",2020-03-04,33
"5",2020-03-05,32
"6",2020-03-06,32
"7",2020-03-07,35
"8",2020-03-08,38
"9",2020-03-09,33
"10",2020-03-10,33
"11",2020-03-11,33
"16",2020-03-12,27
"17",2020-03-13,30
"18",2020-03-17,38
"19",2020-03-18,40
"20",2020-03-19,43
"21",2020-03-20,44
"22",2020-03-21,57
"23",2020-03-22,57
"24",2020-03-23,52
"25",2020-03-24,54
"26",2020-03-25,55
"27",2020-03-26,54
"28",2020-03-27,54
"29",2020-03-28,57
"30",2020-03-29,59
"31",2020-03-30,55
"32",2020-03-31,55
"33",2020-04-01,54
"34",2020-04-02,54
"35",2020-04-03,53
"36",2020-04-04,58
"37",2020-04-05,59
"38",2020-04-06,51
"39",2020-04-07,50
"40",2020-04-08,50
"41",2020-04-09,46
"42",2020-04-10,56
"43",2020-04-11,54
"44",2020-04-12,57
"45",2020-04-13,48
"46",2020-04-14,48
"47",2020-04-15,48
"48",2020-04-16,47
"49",2020-04-17,46
"50",2020-04-18,52
"51",2020-04-19,58
"52",2020-04-20,49
"53",2020-04-21,56
"54",2020-04-22,46
"55",2020-04-23,46
"56",2020-04-24,46
"57",2020-04-25,52
"58",2020-04-26,57
"59",2020-04-27,46
"60",2020-04-28,46
"61",2020-04-29,45
"62",2020-04-30,44
"63",2020-05-01,54
"64",2020-05-02,51
"65",2020-05-03,57
"66",2020-05-04,45
"67",2020-05-05,45
"68",2020-05-06,45
"69",2020-05-07,44
"70",2020-05-08,43
"71",2020-05-09,49
"72",2020-05-10,52
"73",2020-05-11,45
"74",2020-05-12,45
"75",2020-05-13,44
"76",2020-05-14,45
"77",2020-05-15,43
"78",2020-05-16,50
"79",2020-05-17,54
"80",2020-05-18,48
"81",2020-05-19,47
"82",2020-05-20,47
"83",2020-05-21,47
"84",2020-05-22,47
"85",2020-05-23,50
"86",2020-05-24,54
"87",2020-05-25,48
"88",2020-05-26,46
"89",2020-05-27,49
"90",2020-05-28,47
"91",2020-05-29,46
"92",2020-05-30,51
"93",2020-05-31,54
"94",2020-06-01,46
"95",2020-06-02,47
"96",2020-06-03,46
"97",2020-06-04,47
"98",2020-06-05,46
"99",2020-06-06,49
"100",2020-06-07,52
"101",2020-06-08,46
"102",2020-06-09,46
"103",2020-06-10,46
"104",2020-06-11,47
"105",2020-06-12,45
"106",2020-06-13,48
"107",2020-06-14,52
"108",2020-06-15,46
"109",2020-06-16,46
"110",2020-06-17,46
"111",2020-06-18,44
"112",2020-06-19,45
"113",2020-06-20,48
"114",2020-06-21,52
"115",2020-06-22,46
"116",2020-06-23,46
"117",2020-06-24,46
"118",2020-06-25,45
"119",2020-06-26,45
"120",2020-06-27,49
"121",2020-06-28,52
"122",2020-06-29,46
"123",2020-06-30,46
"124",2020-07-01,45
"125",2020-07-02,45
"126",2020-07-03,45
"127",2020-07-04,47
"128",2020-07-05,52
"129",2020-07-06,45
"130",2020-07-07,45
"131",2020-07-08,45
"132",2020-07-09,46
"133",2020-07-10,45
"134",2020-07-11,47
"135",2020-07-12,51
"136",2020-07-13,45
"137",2020-07-14,45
"138",2020-07-15,45
"139",2020-07-16,45
"140",2020-07-17,44
"141",2020-07-18,47
"142",2020-07-19,51
"143",2020-07-20,41
"144",2020-07-21,41
"145",2020-07-22,41
"146",2020-07-23,41
"147",2020-07-24,40
"148",2020-07-25,44
"149",2020-07-26,51
"150",2020-07-27,42
"151",2020-07-28,41
"152",2020-07-29,41
"153",2020-07-30,41
"154",2020-07-31,41
