Município1;UF1;Data;Índice De Isolamento
CAMPINAS;SP;segunda-feira, 03/08;40%
SANTOS;SP;segunda-feira, 03/08;39%
SÃO PAULO;SP;segunda-feira, 03/08;43%
CAMPINAS;SP;domingo, 02/08;50%
SANTOS;SP;domingo, 02/08;47%
SÃO PAULO;SP;domingo, 02/08;51%
CAMPINAS;SP;sábado, 01/08;43%
SANTOS;SP;sábado, 01/08;41%
SÃO PAULO;SP;sábado, 01/08;45%
CAMPINAS;SP;sexta-feira, 31/07;41%
SANTOS;SP;sexta-feira, 31/07;39%
SÃO PAULO;SP;sexta-feira, 31/07;43%
CAMPINAS;SP;quinta-feira, 30/07;41%
SANTOS;SP;quinta-feira, 30/07;40%
SÃO PAULO;SP;quinta-feira, 30/07;44%
CAMPINAS;SP;quarta-feira, 29/07;41%
SANTOS;SP;quarta-feira, 29/07;40%
SÃO PAULO;SP;quarta-feira, 29/07;44%
CAMPINAS;SP;terça-feira, 28/07;41%
SANTOS;SP;terça-feira, 28/07;39%
SÃO PAULO;SP;terça-feira, 28/07;43%
CAMPINAS;SP;segunda-feira, 27/07;42%
SANTOS;SP;segunda-feira, 27/07;40%
SÃO PAULO;SP;segunda-feira, 27/07;44%
CAMPINAS;SP;domingo, 26/07;51%
SANTOS;SP;domingo, 26/07;49%
SÃO PAULO;SP;domingo, 26/07;52%
CAMPINAS;SP;sábado, 25/07;44%
CAMPINAS;SP;quinta-feira, 05/03;30%
CAMPINAS;SP;sexta-feira, 06/03;29%
CAMPINAS;SP;quinta-feira, 12/03;27%
CAMPINAS;SP;sexta-feira, 13/03;30%
CAMPINAS;SP;terça-feira, 17/03;38%
CAMPINAS;SP;quarta-feira, 18/03;40%
CAMPINAS;SP;quinta-feira, 19/03;43%
CAMPINAS;SP;sexta-feira, 20/03;44%
CAMPINAS;SP;sábado, 21/03;57%
CAMPINAS;SP;domingo, 22/03;57%
CAMPINAS;SP;segunda-feira, 23/03;52%
CAMPINAS;SP;terça-feira, 24/03;54%
CAMPINAS;SP;quarta-feira, 25/03;55%
CAMPINAS;SP;quinta-feira, 26/03;54%
CAMPINAS;SP;sexta-feira, 27/03;54%
CAMPINAS;SP;sábado, 28/03;57%
CAMPINAS;SP;domingo, 29/03;59%
CAMPINAS;SP;segunda-feira, 30/03;55%
CAMPINAS;SP;terça-feira, 31/03;55%
CAMPINAS;SP;quarta-feira, 01/04;54%
CAMPINAS;SP;quinta-feira, 02/04;54%
CAMPINAS;SP;sexta-feira, 03/04;53%
CAMPINAS;SP;sábado, 04/04;58%
CAMPINAS;SP;domingo, 05/04;59%
CAMPINAS;SP;segunda-feira, 06/04;51%
CAMPINAS;SP;terça-feira, 07/04;50%
CAMPINAS;SP;quarta-feira, 08/04;50%
CAMPINAS;SP;quinta-feira, 09/04;46%
CAMPINAS;SP;sexta-feira, 10/04;56%
CAMPINAS;SP;sábado, 11/04;54%
CAMPINAS;SP;domingo, 12/04;57%
CAMPINAS;SP;segunda-feira, 13/04;48%
CAMPINAS;SP;terça-feira, 14/04;48%
CAMPINAS;SP;quarta-feira, 15/04;48%
CAMPINAS;SP;quinta-feira, 16/04;47%
CAMPINAS;SP;sexta-feira, 17/04;46%
CAMPINAS;SP;sábado, 18/04;52%
CAMPINAS;SP;domingo, 19/04;58%
CAMPINAS;SP;segunda-feira, 20/04;49%
CAMPINAS;SP;terça-feira, 21/04;56%
CAMPINAS;SP;quarta-feira, 22/04;46%
CAMPINAS;SP;quinta-feira, 23/04;46%
CAMPINAS;SP;sexta-feira, 24/04;46%
CAMPINAS;SP;sábado, 25/04;52%
CAMPINAS;SP;domingo, 26/04;57%
CAMPINAS;SP;segunda-feira, 27/04;46%
CAMPINAS;SP;terça-feira, 28/04;46%
CAMPINAS;SP;quarta-feira, 29/04;45%
CAMPINAS;SP;quinta-feira, 30/04;44%
CAMPINAS;SP;sexta-feira, 01/05;54%
CAMPINAS;SP;sábado, 02/05;51%
CAMPINAS;SP;domingo, 03/05;57%
CAMPINAS;SP;segunda-feira, 04/05;45%
CAMPINAS;SP;terça-feira, 05/05;45%
CAMPINAS;SP;quarta-feira, 06/05;45%
CAMPINAS;SP;quinta-feira, 07/05;44%
CAMPINAS;SP;sexta-feira, 08/05;43%
CAMPINAS;SP;sábado, 09/05;49%
CAMPINAS;SP;domingo, 10/05;52%
