"","datahora","casos","obitos","pop"
"540","2020-02-25",0,0,428703
"1182","2020-02-26",0,0,428703
"1824","2020-02-27",0,0,428703
"2466","2020-02-28",0,0,428703
"3108","2020-02-29",0,0,428703
"3750","2020-03-01",0,0,428703
"4392","2020-03-02",0,0,428703
"5034","2020-03-03",0,0,428703
"5676","2020-03-04",0,0,428703
"6318","2020-03-05",0,0,428703
"6960","2020-03-06",0,0,428703
"7602","2020-03-07",0,0,428703
"8244","2020-03-08",0,0,428703
"8886","2020-03-09",0,0,428703
"9528","2020-03-10",0,0,428703
"10170","2020-03-11",0,0,428703
"10812","2020-03-12",0,0,428703
"11454","2020-03-13",0,0,428703
"12096","2020-03-14",0,0,428703
"12738","2020-03-15",0,0,428703
"13380","2020-03-16",0,0,428703
"14022","2020-03-17",0,0,428703
"14664","2020-03-18",0,0,428703
"15306","2020-03-19",0,0,428703
"15948","2020-03-20",0,0,428703
"16590","2020-03-21",0,0,428703
"17232","2020-03-22",0,0,428703
"17874","2020-03-23",0,0,428703
"18516","2020-03-24",0,0,428703
"19158","2020-03-25",0,0,428703
"19800","2020-03-26",0,0,428703
"20442","2020-03-27",0,0,428703
"21084","2020-03-28",0,0,428703
"21726","2020-03-29",0,0,428703
"22368","2020-03-30",1,0,428703
"23010","2020-03-31",14,0,428703
"23652","2020-04-01",23,0,428703
"24294","2020-04-02",37,0,428703
"24936","2020-04-03",55,0,428703
"25578","2020-04-04",66,2,428703
"26220","2020-04-05",72,2,428703
"26862","2020-04-06",75,2,428703
"27504","2020-04-07",87,2,428703
"28146","2020-04-08",109,3,428703
"28788","2020-04-09",130,4,428703
"29430","2020-04-10",144,5,428703
"30072","2020-04-11",146,6,428703
"30714","2020-04-12",166,6,428703
"31356","2020-04-13",167,6,428703
"31998","2020-04-14",171,6,428703
"32640","2020-04-15",216,12,428703
"33282","2020-04-16",247,15,428703
"33924","2020-04-17",276,19,428703
"34566","2020-04-18",287,19,428703
"35208","2020-04-19",293,19,428703
"35850","2020-04-20",310,19,428703
"36492","2020-04-21",322,19,428703
"37134","2020-04-22",323,19,428703
"37776","2020-04-23",332,19,428703
"38418","2020-04-24",367,19,428703
"39060","2020-04-25",419,25,428703
"39702","2020-04-26",426,25,428703
"40344","2020-04-27",463,27,428703
"40986","2020-04-28",495,41,428703
"41628","2020-04-29",534,46,428703
"42270","2020-04-30",567,47,428703
"42912","2020-05-01",600,47,428703
"43554","2020-05-02",606,47,428703
"44196","2020-05-03",609,47,428703
"44838","2020-05-04",609,47,428703
"45480","2020-05-05",645,55,428703
"46122","2020-05-06",805,57,428703
"46764","2020-05-07",876,57,428703
"47406","2020-05-08",893,62,428703
"48048","2020-05-09",926,66,428703
"48690","2020-05-10",958,66,428703
"49332","2020-05-11",965,66,428703
"49974","2020-05-12",1000,67,428703
"50616","2020-05-13",1069,69,428703
"51258","2020-05-14",1147,73,428703
"51900","2020-05-15",1251,79,428703
"52542","2020-05-16",1323,81,428703
"53184","2020-05-17",1397,86,428703
"53826","2020-05-18",1413,86,428703
"54468","2020-05-19",1464,93,428703
"55110","2020-05-20",1613,97,428703
"55752","2020-05-21",1734,98,428703
"56394","2020-05-22",1912,101,428703
"57036","2020-05-23",2073,105,428703
"57678","2020-05-24",2186,107,428703
"58320","2020-05-25",2408,107,428703
"58962","2020-05-26",2605,112,428703
"59604","2020-05-27",2742,117,428703
"60246","2020-05-28",2940,131,428703
"60888","2020-05-29",3127,134,428703
"61530","2020-05-30",3330,145,428703
"62172","2020-05-31",3462,148,428703
"62814","2020-06-01",3478,148,428703
"63456","2020-06-02",3723,155,428703
"64098","2020-06-03",3949,163,428703
"64740","2020-06-04",4137,169,428703
"65382","2020-06-05",4315,172,428703
"66024","2020-06-06",4534,188,428703
"66666","2020-06-07",4542,188,428703
"67308","2020-06-08",4568,189,428703
"67950","2020-06-09",4719,190,428703
"68592","2020-06-10",4976,192,428703
"69234","2020-06-11",5156,206,428703
"69876","2020-06-12",5464,214,428703
"70518","2020-06-13",5784,217,428703
"71160","2020-06-14",6148,221,428703
"71802","2020-06-15",6301,225,428703
"72444","2020-06-16",6534,233,428703
"73086","2020-06-17",6553,243,428703
"73728","2020-06-18",6573,255,428703
"74370","2020-06-19",7151,279,428703
"75012","2020-06-20",7394,283,428703
"75654","2020-06-21",7649,302,428703
"76296","2020-06-22",7798,302,428703
"76938","2020-06-23",7961,316,428703
"77580","2020-06-24",8189,319,428703
"78222","2020-06-25",8404,344,428703
"78864","2020-06-26",8634,348,428703
"79506","2020-06-27",8826,356,428703
"80148","2020-06-28",8989,362,428703
"80790","2020-06-29",9109,362,428703
"81432","2020-06-30",9276,370,428703
"82074","2020-07-01",9448,372,428703
"82716","2020-07-02",9730,378,428703
"83358","2020-07-03",9947,380,428703
"84000","2020-07-04",10053,384,428703
"84642","2020-07-05",10500,384,428703
"85284","2020-07-06",11107,384,428703
"85926","2020-07-07",11429,386,428703
"86568","2020-07-08",11711,388,428703
"87210","2020-07-09",11797,393,428703
"87852","2020-07-10",11977,393,428703
"88494","2020-07-11",12328,397,428703
"89136","2020-07-12",12362,398,428703
"89778","2020-07-13",12367,398,428703
"90420","2020-07-14",12610,408,428703
"91062","2020-07-15",12746,409,428703
"91704","2020-07-16",12973,410,428703
"92346","2020-07-17",13111,414,428703
"92988","2020-07-18",13168,426,428703
"93630","2020-07-19",13209,426,428703
"94272","2020-07-20",13340,426,428703
"94914","2020-07-21",13387,431,428703
"95556","2020-07-22",13588,431,428703
"96198","2020-07-23",13776,436,428703
"96840","2020-07-24",13909,438,428703
"97482","2020-07-25",14529,446,428703
"98124","2020-07-26",14693,449,428703
"98766","2020-07-27",14701,449,428703
"99408","2020-07-28",14755,453,428703
"100050","2020-07-29",14969,458,428703
"100692","2020-07-30",15142,464,428703
"101334","2020-07-31",15302,470,428703
"101976","2020-08-01",15407,474,428703
"102618","2020-08-02",15738,474,428703
"103260","2020-08-03",15748,475,428703
"103902","2020-08-04",16104,481,428703
