"","Data","Índice De Isolamento"
"344",2020-02-26,34
"345",2020-02-27,32
"346",2020-02-28,31
"347",2020-02-29,33
"348",2020-03-01,37
"349",2020-03-02,32
"350",2020-03-03,34
"351",2020-03-04,32
"352",2020-03-05,31
"353",2020-03-06,30
"354",2020-03-07,32
"355",2020-03-08,34
"356",2020-03-09,31
"357",2020-03-10,32
"358",2020-03-11,31
"359",2020-03-12,26
"360",2020-03-13,29
"361",2020-03-17,37
"362",2020-03-18,39
"363",2020-03-19,42
"364",2020-03-20,45
"365",2020-03-21,55
"366",2020-03-22,56
"367",2020-03-23,52
"368",2020-03-24,53
"369",2020-03-25,54
"370",2020-03-26,54
"371",2020-03-27,53
"372",2020-03-28,55
"373",2020-03-29,58
"374",2020-03-30,56
"375",2020-03-31,55
"376",2020-04-01,54
"377",2020-04-02,55
"378",2020-04-03,54
"379",2020-04-04,58
"380",2020-04-05,59
"381",2020-04-06,52
"382",2020-04-07,51
"383",2020-04-08,51
"384",2020-04-09,48
"385",2020-04-10,57
"386",2020-04-11,54
"387",2020-04-12,58
"388",2020-04-13,49
"389",2020-04-14,48
"390",2020-04-15,49
"391",2020-04-16,49
"392",2020-04-17,48
"393",2020-04-18,54
"394",2020-04-19,59
"395",2020-04-20,50
"396",2020-04-21,57
"397",2020-04-22,47
"398",2020-04-23,48
"399",2020-04-24,47
"400",2020-04-25,52
"401",2020-04-26,58
"402",2020-04-27,48
"403",2020-04-28,47
"404",2020-04-29,47
"405",2020-04-30,46
"406",2020-05-01,56
"407",2020-05-02,54
"408",2020-05-03,59
"409",2020-05-04,47
"410",2020-05-05,46
"411",2020-05-06,46
"412",2020-05-07,47
"413",2020-05-08,45
"414",2020-05-09,50
"415",2020-05-10,54
"416",2020-05-11,47
"417",2020-05-12,46
"418",2020-05-13,46
"419",2020-05-14,47
"420",2020-05-15,46
"421",2020-05-16,48
"422",2020-05-17,53
"423",2020-05-18,47
"424",2020-05-19,46
"425",2020-05-20,46
"426",2020-05-21,47
"427",2020-05-22,46
"428",2020-05-23,49
"429",2020-05-24,53
"430",2020-05-25,49
"431",2020-05-26,44
"432",2020-05-27,46
"433",2020-05-28,45
"434",2020-05-29,45
"435",2020-05-30,50
"436",2020-05-31,53
"437",2020-06-01,46
"438",2020-06-02,46
"439",2020-06-03,45
"440",2020-06-04,46
"441",2020-06-05,45
"442",2020-06-06,49
"443",2020-06-07,53
"444",2020-06-08,46
"445",2020-06-09,45
"446",2020-06-10,45
"447",2020-06-11,49
"448",2020-06-12,44
"449",2020-06-13,47
"450",2020-06-14,52
"451",2020-06-15,46
"452",2020-06-16,45
"453",2020-06-17,44
"454",2020-06-18,43
"455",2020-06-19,44
"456",2020-06-20,47
"457",2020-06-21,51
"458",2020-06-22,45
"459",2020-06-23,45
"460",2020-06-24,45
"461",2020-06-25,44
"462",2020-06-26,44
"463",2020-06-27,48
"464",2020-06-28,51
"465",2020-06-29,45
"466",2020-06-30,44
"467",2020-07-01,44
"468",2020-07-02,44
"469",2020-07-03,43
"470",2020-07-04,46
"471",2020-07-05,50
"472",2020-07-06,44
"473",2020-07-07,44
"474",2020-07-08,43
"475",2020-07-09,44
"476",2020-07-10,43
"477",2020-07-11,45
"478",2020-07-12,49
"479",2020-07-13,43
"480",2020-07-14,44
"481",2020-07-15,44
"482",2020-07-16,43
"483",2020-07-17,43
"484",2020-07-18,45
"485",2020-07-19,49
"486",2020-07-20,40
"487",2020-07-21,40
"488",2020-07-22,39
"489",2020-07-23,39
"490",2020-07-24,38
"491",2020-07-25,41
"492",2020-07-26,49
"493",2020-07-27,40
"494",2020-07-28,39
"495",2020-07-29,40
"496",2020-07-30,40
"497",2020-07-31,39
"498",2020-08-01,41
"499",2020-08-02,47
"500",2020-08-03,39
"501",2020-08-04,39
"502",2020-08-05,38
"503",2020-08-06,38
"504",2020-08-07,37
"505",2020-08-08,40
"506",2020-08-09,45
"507",2020-08-10,39
"508",2020-08-11,39
"509",2020-08-12,38
"510",2020-08-13,37
"511",2020-08-14,37
"512",2020-08-15,41
"513",2020-08-16,48
"514",2020-08-17,39
"515",2020-08-18,39
"516",2020-08-19,37
"517",2020-08-20,39
"518",2020-08-21,38
"519",2020-08-22,42
"520",2020-08-23,46
"521",2020-08-24,38
"522",2020-08-25,38
"523",2020-08-26,37
"524",2020-08-27,37
"525",2020-08-28,36
"526",2020-08-29,39
"527",2020-08-30,45
"528",2020-08-31,38
"529",2020-09-01,38
"530",2020-09-02,38
"531",2020-09-03,36
"532",2020-09-04,36
"533",2020-09-05,39
"534",2020-09-06,42
"535",2020-09-07,43
"536",2020-09-08,41
"537",2020-09-09,37
"538",2020-09-10,37
"539",2020-09-11,36
"540",2020-09-12,39
"541",2020-09-13,43
"542",2020-09-14,36
"543",2020-09-15,38
"544",2020-09-16,37
"545",2020-09-17,37
"546",2020-09-18,37
"547",2020-09-19,39
"548",2020-09-20,45
"549",2020-09-21,38
"550",2020-09-22,39
"551",2020-09-23,37
"552",2020-09-24,37
"553",2020-09-25,36
"554",2020-09-26,38
"555",2020-09-27,43
"556",2020-09-28,38
"557",2020-09-29,38
"558",2020-09-30,36
"559",2020-10-01,36
"560",2020-10-02,35
"561",2020-10-03,38
"562",2020-10-04,45
"563",2020-10-05,36
"564",2020-10-06,36
"565",2020-10-07,35
"566",2020-10-08,36
"567",2020-10-09,37
"568",2020-10-10,38
"569",2020-10-11,41
"570",2020-10-12,42
"571",2020-10-13,34
"572",2020-10-14,36
"573",2020-10-15,36
"574",2020-10-16,38
"575",2020-10-17,38
"576",2020-10-18,42
"577",2020-10-19,36
"578",2020-10-20,36
"579",2020-10-21,36
"580",2020-10-22,36
"581",2020-10-23,35
"582",2020-10-24,38
"583",2020-10-25,42
"584",2020-10-26,36
"585",2020-10-27,37
"586",2020-10-28,36
"587",2020-10-29,36
"588",2020-10-30,36
"589",2020-10-31,41
"590",2020-11-01,44
"591",2020-11-02,43
"592",2020-11-03,36
"593",2020-11-04,36
"594",2020-11-05,36
"595",2020-11-06,35
"596",2020-11-07,38
"597",2020-11-08,43
"598",2020-11-09,36
"599",2020-11-10,36
"600",2020-11-11,36
"601",2020-11-12,35
"602",2020-11-13,35
"603",2020-11-14,39
"604",2020-11-15,41
"605",2020-11-16,36
"606",2020-11-17,37
"607",2020-11-18,37
"608",2020-11-19,36
"609",2020-11-20,38
"610",2020-11-21,39
"611",2020-11-22,42
"612",2020-11-23,36
"613",2020-11-24,36
"614",2020-11-25,36
"615",2020-11-26,36
"616",2020-11-27,37
"617",2020-11-28,38
"618",2020-11-29,41
"619",2020-11-30,35
"620",2020-12-01,35
"621",2020-12-02,36
"622",2020-12-03,36
"623",2020-12-04,35
"624",2020-12-05,38
"625",2020-12-06,44
"626",2020-12-07,36
"627",2020-12-08,36
"628",2020-12-09,35
"629",2020-12-10,37
"630",2020-12-11,37
"631",2020-12-12,38
"632",2020-12-13,43
"633",2020-12-14,37
"634",2020-12-15,36
"635",2020-12-16,37
"636",2020-12-17,36
"637",2020-12-18,35
"638",2020-12-19,37
"639",2020-12-20,42
"640",2020-12-21,36
"641",2020-12-22,36
"642",2020-12-23,36
"643",2020-12-24,39
"644",2020-12-25,46
"645",2020-12-26,43
"646",2020-12-27,44
"647",2020-12-28,37
"648",2020-12-29,39
"649",2020-12-30,37
"650",2020-12-31,43
"651",2021-01-01,47
"652",2021-01-02,46
"653",2021-01-03,48
"654",2021-01-04,36
"655",2021-01-05,37
"656",2021-01-06,38
"657",2021-01-07,39
"658",2021-01-08,37
"659",2021-01-09,42
"660",2021-01-10,44
"661",2021-01-11,38
"662",2021-01-12,37
"663",2021-01-13,37
"664",2021-01-14,36
"665",2021-01-15,36
"666",2021-01-16,39
"667",2021-01-17,43
"668",2021-01-18,36
"669",2021-01-19,37
"670",2021-01-20,38
"671",2021-01-21,36
"672",2021-01-22,36
"673",2021-01-23,39
"674",2021-01-24,44
"675",2021-01-25,37
"676",2021-01-26,41
"677",2021-01-27,36
"678",2021-01-28,36
"679",2021-01-29,39
"680",2021-01-30,41
"681",2021-01-31,45
"682",2021-02-01,36
"683",2021-02-02,37
"684",2021-02-03,35
"685",2021-02-04,36
"686",2021-02-05,35
