"","Data","Isol"
"687",2020-02-26,0.36
"688",2020-02-27,0.31
"689",2020-02-28,0.31
"690",2020-02-29,0.35
"691",2020-03-01,0.39
"692",2020-03-02,0.32
"693",2020-03-03,0.32
"694",2020-03-04,0.31
"695",2020-03-05,0.3
"696",2020-03-07,0.34
"697",2020-03-08,0.38
"698",2020-03-09,0.31
"699",2020-03-10,0.31
"700",2020-03-11,0.31
"701",2020-03-12,0.25
"702",2020-03-13,0.29
"703",2020-03-17,0.38
"704",2020-03-18,0.4
"705",2020-03-19,0.43
"706",2020-03-20,0.45
"707",2020-03-21,0.57
"708",2020-03-22,0.56
"709",2020-03-23,0.53
"710",2020-03-24,0.55
"711",2020-03-25,0.55
"712",2020-03-26,0.55
"713",2020-03-27,0.55
"714",2020-03-28,0.56
"715",2020-03-29,0.59
"716",2020-03-30,0.57
"717",2020-03-31,0.56
"718",2020-04-01,0.56
"719",2020-04-02,0.56
"720",2020-04-03,0.56
"721",2020-04-04,0.58
"722",2020-04-05,0.59
"723",2020-04-06,0.54
"724",2020-04-07,0.52
"725",2020-04-08,0.51
"726",2020-04-09,0.48
"727",2020-04-10,0.56
"728",2020-04-11,0.54
"729",2020-04-12,0.58
"730",2020-04-13,0.5
"731",2020-04-14,0.5
"732",2020-04-15,0.5
"733",2020-04-16,0.49
"734",2020-04-17,0.49
"735",2020-04-18,0.53
"736",2020-04-19,0.58
"737",2020-04-20,0.51
"738",2020-04-21,0.57
"739",2020-04-22,0.48
"740",2020-04-23,0.48
"741",2020-04-24,0.48
"742",2020-04-25,0.52
"743",2020-04-26,0.58
"744",2020-04-27,0.48
"745",2020-04-28,0.48
"746",2020-04-29,0.48
"747",2020-04-30,0.47
"748",2020-05-01,0.55
"749",2020-05-02,0.52
"750",2020-05-03,0.58
"751",2020-05-04,0.48
"752",2020-05-05,0.48
"753",2020-05-06,0.47
"754",2020-05-07,0.48
"755",2020-05-08,0.46
"756",2020-05-09,0.5
"757",2020-05-10,0.54
"758",2020-05-11,0.49
"759",2020-05-12,0.48
"760",2020-05-13,0.48
"761",2020-05-14,0.49
"762",2020-05-15,0.48
"763",2020-05-16,0.52
"764",2020-05-17,0.56
"765",2020-05-18,0.5
"766",2020-05-19,0.49
"767",2020-05-20,0.51
"768",2020-05-21,0.52
"769",2020-05-22,0.49
"770",2020-05-23,0.53
"771",2020-05-24,0.57
"772",2020-05-25,0.53
"773",2020-05-26,0.49
"774",2020-05-27,0.49
"775",2020-05-28,0.49
"776",2020-05-29,0.48
"777",2020-05-30,0.52
"778",2020-05-31,0.55
"779",2020-06-01,0.49
"780",2020-06-02,0.5
"781",2020-06-03,0.49
"782",2020-06-04,0.49
"783",2020-06-05,0.48
"784",2020-06-06,0.51
"785",2020-06-07,0.53
"786",2020-06-08,0.48
"787",2020-06-09,0.48
"788",2020-06-10,0.48
"789",2020-06-11,0.48
"790",2020-06-12,0.47
"791",2020-06-13,0.49
"792",2020-06-14,0.54
"793",2020-06-15,0.48
"794",2020-06-16,0.48
"795",2020-06-17,0.47
"796",2020-06-18,0.46
"797",2020-06-19,0.46
"798",2020-06-20,0.48
"799",2020-06-21,0.53
"800",2020-06-22,0.47
"801",2020-06-23,0.47
"802",2020-06-24,0.47
"803",2020-06-25,0.45
"804",2020-06-26,0.46
"805",2020-06-27,0.49
"806",2020-06-28,0.53
"807",2020-06-29,0.47
"808",2020-06-30,0.46
"809",2020-07-01,0.46
"810",2020-07-02,0.46
"811",2020-07-03,0.45
"812",2020-07-04,0.47
"813",2020-07-05,0.52
"814",2020-07-06,0.46
"815",2020-07-07,0.46
"816",2020-07-08,0.45
"817",2020-07-09,0.46
"818",2020-07-10,0.45
"819",2020-07-11,0.47
"820",2020-07-12,0.52
"821",2020-07-13,0.45
"822",2020-07-14,0.46
"823",2020-07-15,0.46
"824",2020-07-16,0.46
"825",2020-07-17,0.44
"826",2020-07-18,0.46
"827",2020-07-19,0.52
"828",2020-07-20,0.44
"829",2020-07-21,0.44
"830",2020-07-22,0.43
"831",2020-07-23,0.43
"832",2020-07-24,0.42
"833",2020-07-25,0.45
"834",2020-07-26,0.52
"835",2020-07-27,0.44
"836",2020-07-28,0.43
"837",2020-07-29,0.44
"838",2020-07-30,0.44
"839",2020-07-31,0.43
"840",2020-08-01,0.45
